School,Class,Position(s),Height,Height (dec),Weight,Tankathon Rank,Age,Wingspan,Wingspan (dec),G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,G per 36,MP per 36,FGA per 36,FG% per 36,3PA per 36,3P% per 36,FTA per 36,FT% per 36,REB per 36,AST per 36,BLK per 36,STL per 36,TO per 36,PF per 36,PTS per 36,True Shooting %TS%,Effective FG%EFG%,3PA Rate3PAR,FTA RateFTAR,Proj NBA 3P%NBA 3P%,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,ORTG,DRTG,OBPM,DBPM,BPM,Name
Colorado State,Senior,"['SG', 'SF']","6'6""",6.5,200,41,23.36,,,18.0,34.6,6.5,12.6,0.5,1.7,4.9,0.341,2.8,3.7,0.742,9.8,3.7,0.7,1.0,2.9,2.6,16.9,18.0,36.0,13.1,0.5,5.1,0.341,3.8,0.742,10.2,3.8,0.7,1.0,3.0,2.7,17.6,0.593,0.566,0.389,0.292,0.353,26.1,0.85,1.27,20.8,0.077,0.103,0.18,,,4.2,3.2,7.4,Nique Clifford
Le Mans Sarthe (France),International,['SF'],"6'7""",6.58,225,39,20.45,,,16.0,26.8,4.4,7.6,0.426,1.2,2.8,0.311,3.3,3.4,0.722,5.5,2.6,0.6,1.7,1.9,2.1,9.8,16.0,36.0,10.2,0.426,3.8,0.311,4.5,0.722,7.4,3.4,0.8,2.3,2.5,2.9,13.2,0.532,0.484,0.369,0.443,0.34,,,1.37,,,,,,,,,,Noah Penda
Arkansas,Junior,"['SF', 'PF']","6'8""",6.67,220,21,21.12,,,17.0,28.1,7.5,10.3,0.571,0.5,1.6,0.214,5.5,6.2,0.689,6.0,2.1,1.0,1.9,1.8,2.5,16.4,17.0,36.0,13.2,0.571,2.1,0.214,8.0,0.689,7.7,2.6,1.3,2.4,2.3,3.2,21.0,0.619,0.589,0.16,0.606,0.319,26.6,0.54,1.17,27.4,0.142,0.1,0.243,,,6.7,5.1,11.8,Adou Thiero
Iowa State,Sophomore,"['SF', 'PF']","6'8""",6.67,220,20,20.74,,,15.0,24.9,5.3,7.9,0.466,3.0,4.7,0.443,1.4,1.2,0.778,3.5,0.8,0.3,0.3,0.6,1.4,10.3,15.0,36.0,11.4,0.466,6.8,0.443,1.7,0.778,5.1,1.2,0.5,0.5,0.9,2.0,15.0,0.612,0.597,0.593,0.153,0.381,17.8,0.3,1.33,15.7,0.097,0.075,0.172,,,3.7,1.6,5.4,Milan Momcilovic
Joventut (Spain),International,['PF'],"6'10""",6.83,220,43,18.71,,,10.0,14.3,3.5,3.3,0.424,1.0,1.5,0.267,1.0,1.2,0.333,1.9,0.3,0.5,0.2,0.3,1.9,3.6,10.0,36.0,8.3,0.424,3.8,0.267,3.0,0.333,4.8,0.8,1.3,0.5,0.8,4.8,9.1,0.465,0.485,0.455,0.364,,,,1.0,,,,,,,,,,Michael Ruzic
Rutgers,Freshman,['SF'],"6'10""",6.83,200,3,18.85,,,17.0,33.5,8.4,16.2,0.484,2.1,4.9,0.393,2.5,3.9,0.606,7.9,0.9,1.4,1.1,2.1,2.6,19.9,17.0,36.0,17.4,0.484,5.3,0.393,4.2,0.606,8.5,1.0,1.5,1.1,2.3,2.8,21.4,0.553,0.544,0.305,0.24,0.342,29.7,0.22,0.44,22.1,0.077,0.063,0.141,,,4.9,1.2,6.1,Ace Bailey
North Carolina,Freshman,['SG'],"6'5""",6.42,185,36,19.78,,,20.0,23.7,3.9,5.5,0.464,1.4,2.5,0.38,1.3,1.3,0.68,3.5,0.9,0.7,0.7,0.8,1.8,6.9,20.0,36.0,8.4,0.464,3.8,0.38,1.9,0.68,5.3,1.3,1.1,1.0,1.2,2.7,10.5,0.566,0.55,0.455,0.227,0.341,14.0,0.42,1.06,11.8,0.042,0.059,0.101,,,1.6,3.6,5.2,Drake Powell
Marquette,Senior,['SG'],"6'5""",6.42,200,22,23.32,,,19.0,33.4,8.3,15.6,0.497,1.9,5.4,0.33,2.0,2.6,0.714,4.8,6.5,0.2,1.7,1.7,2.1,19.1,19.0,36.0,16.8,0.497,5.8,0.33,2.8,0.714,5.2,7.0,0.2,1.9,1.9,2.2,20.6,0.568,0.554,0.348,0.166,0.353,27.8,1.49,3.76,26.6,0.164,0.082,0.246,,,8.3,4.0,12.3,Kam Jones
Wake Forest,Senior,"['SG', 'PG']","6'4.75""",6.4,179,61,22.24,"6'9.75""",6.81,19.0,36.1,7.2,15.2,0.476,1.6,5.3,0.297,3.2,3.8,0.847,4.5,2.8,0.5,1.3,2.5,2.4,19.2,19.0,36.0,15.1,0.476,5.3,0.297,3.8,0.847,4.5,2.8,0.5,1.3,2.5,2.4,19.2,0.566,0.528,0.351,0.25,0.364,28.0,0.65,1.1,19.6,0.082,0.076,0.158,,,3.5,2.4,5.9,Hunter Sallis
Arkansas,Freshman,['PG'],"6'2""",6.17,175,19,18.95,,,18.0,34.1,5.4,13.1,0.391,2.1,5.3,0.365,3.0,3.4,0.839,3.4,5.7,0.1,1.5,1.6,1.8,15.1,18.0,36.0,13.8,0.391,5.6,0.365,3.6,0.839,3.6,6.0,0.1,1.6,1.6,1.9,15.9,0.512,0.466,0.409,0.264,0.372,23.7,1.24,3.68,18.2,0.098,0.072,0.163,,,3.6,2.1,5.7,Boogie Fland
