School,Class,Position(s),Height,Height (dec),Weight,Tankathon Rank,Age,Wingspan,Wingspan (dec),G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,G per 36,MP per 36,FGA per 36,FG% per 36,3PA per 36,3P% per 36,FTA per 36,FT% per 36,REB per 36,AST per 36,BLK per 36,STL per 36,TO per 36,PF per 36,PTS per 36,True Shooting %TS%,Effective FG%EFG%,3PA Rate3PAR,FTA RateFTAR,Proj NBA 3P%NBA 3P%,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,ORTG,DRTG,OBPM,DBPM,BPM,Name
Auburn,Senior,"['PF', 'C']","6'10""",6.83,240,30,22.92,,,16.0,27.5,9.5,13.3,0.547,1.0,2.6,0.286,3.4,4.3,0.618,10.7,3.3,2.7,0.8,1.1,2.1,17.9,16.0,36.0,17.3,0.547,3.4,0.286,5.6,0.618,14.0,4.3,3.5,1.1,1.5,2.7,23.4,0.585,0.575,0.198,0.321,0.322,29.9,0.78,2.89,36.3,0.209,0.118,0.327,,,11.5,5.8,17.3,Johni Broome
Alabama,Senior,['PG'],"6'1""",6.08,190,23,23.33,,,19.0,32.7,5.6,12.6,0.404,2.7,7.0,0.353,6.9,7.6,0.828,2.9,4.9,0.1,1.1,2.3,1.4,19.0,19.0,36.0,13.9,0.404,7.7,0.353,8.4,0.828,3.2,5.4,0.1,1.2,2.5,1.6,20.9,0.584,0.502,0.554,0.604,0.382,25.2,0.99,2.19,20.4,0.148,0.045,0.193,,,6.8,2.0,8.8,Mark Sears
Arizona,Sophomore,['C'],"7'2""",7.17,260,20,20.55,,,8.0,15.6,6.0,4.8,0.553,0.0,0.0,,6.0,3.8,0.7,4.5,1.1,0.8,0.4,0.8,2.0,7.9,8.0,36.0,10.9,0.553,0.0,,8.6,0.7,10.4,2.6,1.7,0.9,1.7,4.6,18.1,0.603,0.553,0.0,0.789,0.317,22.5,0.57,1.5,25.1,0.16,0.096,0.256,,,5.1,3.4,8.5,Motiejus Krivas
UConn,Freshman,['SF'],"6'8""",6.67,185,17,19.69,,,14.0,30.4,4.8,9.5,0.429,2.1,4.7,0.379,4.3,4.3,0.85,5.8,2.6,0.4,0.4,1.4,1.8,13.6,14.0,36.0,11.2,0.429,5.6,0.379,5.1,0.85,6.8,3.0,0.4,0.5,1.6,2.1,16.1,0.588,0.523,0.496,0.451,0.375,22.4,0.66,1.89,19.0,0.122,0.056,0.169,,,4.2,0.4,4.7,Liam McNeeley
Duke,Freshman,['C'],"7'2""",7.17,250,7,18.76,,,18.0,19.9,6.3,4.4,0.788,0.1,0.3,0.167,3.4,2.4,0.773,6.3,0.3,1.1,0.2,0.7,2.1,8.9,18.0,36.0,8.0,0.788,0.6,0.167,4.4,0.773,11.4,0.6,1.9,0.3,1.3,3.7,16.2,0.798,0.794,0.075,0.55,0.329,16.4,0.19,0.46,27.2,0.179,0.112,0.302,,,6.5,4.4,11.0,Khaman Maluach
UCLA,Senior,['SG'],"6'6""",6.5,200,22,22.43,,,19.0,28.2,3.4,5.9,0.446,1.3,2.9,0.339,2.0,2.3,0.682,5.7,3.2,0.2,1.8,1.6,2.6,7.8,19.0,36.0,7.5,0.446,3.8,0.339,3.0,0.682,7.3,4.0,0.2,2.4,2.0,3.4,10.0,0.561,0.531,0.5,0.393,0.337,15.3,1.24,2.0,16.6,0.067,0.105,0.172,,,3.4,5.1,8.5,Kobe Johnson
Valencia (Spain),International,"['PG', 'SG']","6'6""",6.5,198,24,19.54,,,22.0,12.3,5.6,3.8,0.506,2.3,1.7,0.459,3.6,1.6,0.771,2.2,2.9,0.2,0.5,1.6,1.7,5.8,22.0,36.0,11.0,0.506,4.9,0.459,4.6,0.771,6.5,8.4,0.7,1.3,4.6,5.0,17.0,0.642,0.608,0.446,0.422,0.37,21.2,1.55,1.8,18.7,,,,122.4,112.1,,,,Sergio de Larrea
Pittsburgh,Sophomore,"['PG', 'SG']","6'3""",6.25,173,60,20.79,,,18.0,35.4,5.5,14.2,0.383,1.5,5.2,0.28,5.1,5.5,0.909,4.4,5.7,0.3,1.9,3.2,2.2,17.3,18.0,36.0,14.5,0.383,5.3,0.28,5.6,0.909,4.5,5.8,0.3,1.9,3.2,2.3,17.6,0.515,0.434,0.363,0.387,0.37,29.0,1.04,1.81,19.2,0.082,0.063,0.144,,,3.0,2.0,5.0,Jaland Lowe
Texas Tech,Sophomore,['PF'],"6'9""",6.75,225,42,20.02,,,14.0,24.4,10.1,12.4,0.555,0.5,1.1,0.312,4.1,4.1,0.684,9.1,0.9,1.3,0.9,1.7,2.3,16.9,14.0,36.0,18.2,0.555,1.7,0.312,6.0,0.684,13.4,1.3,1.9,1.3,2.5,3.4,24.8,0.59,0.569,0.092,0.329,0.324,33.1,0.23,0.5,32.2,0.152,0.105,0.269,,,7.0,2.3,9.3,JT Toppin
Sydney (NBL),International,['SF'],"6'8""",6.67,223,46,21.13,,,27.0,23.8,6.2,9.0,0.453,1.6,3.1,0.341,3.4,3.1,0.714,3.8,1.4,0.8,1.4,1.1,1.8,11.4,27.0,36.0,13.6,0.453,4.8,0.341,4.7,0.714,5.7,2.2,1.2,2.1,1.6,2.7,17.3,0.546,0.512,0.35,0.346,0.348,20.7,0.47,1.34,17.2,,,,113.4,107.6,,,,Alex Toohey
Illinois,Sophomore,['C'],"7'1""",7.08,255,54,21.75,,,18.0,26.6,6.8,9.9,0.503,2.1,4.4,0.354,2.0,1.9,0.765,8.5,2.0,1.2,0.7,1.2,2.4,13.0,18.0,36.0,13.5,0.503,5.9,0.354,2.6,0.765,11.5,2.7,1.6,1.0,1.7,3.3,17.6,0.6,0.581,0.441,0.19,0.363,20.8,0.67,1.64,23.1,0.126,0.117,0.243,,,6.5,5.6,12.1,Tomislav Ivisic
Michigan,Junior,['C'],"7'0""",7.0,250,28,21.13,,,18.0,28.7,6.0,8.6,0.555,1.3,2.8,0.373,2.4,3.2,0.596,10.2,3.9,1.4,0.9,3.8,1.9,12.5,18.0,36.0,10.8,0.555,3.6,0.373,4.0,0.596,12.8,5.0,1.8,1.2,4.7,2.4,15.7,0.618,0.616,0.329,0.368,0.328,23.6,1.03,1.04,21.4,0.07,0.116,0.186,,,4.5,5.6,10.1,Danny Wolf
Mexico City,G League,['SF'],"6'8""",6.67,210,40,19.28,,,16.0,20.5,6.8,8.8,0.44,2.5,3.6,0.404,1.8,1.4,0.727,3.9,1.5,0.1,0.9,2.2,2.1,10.7,16.0,36.0,15.5,0.44,6.3,0.404,2.4,0.727,6.8,2.6,0.2,1.6,3.8,3.6,18.8,0.565,0.521,0.404,0.156,0.366,25.9,0.51,0.69,12.3,-0.085,0.073,-0.012,,,,,,Dink Pate
Grand Canyon,Senior,"['SG', 'SF']","6'7""",6.58,220,25,25.29,,,16.0,27.4,5.4,11.9,0.346,1.0,3.9,0.19,6.4,7.1,0.69,6.5,1.9,1.5,1.9,2.6,1.9,13.9,16.0,36.0,15.7,0.346,5.2,0.19,9.3,0.69,8.5,2.5,2.0,2.5,3.4,2.5,18.2,0.454,0.377,0.33,0.592,0.33,30.5,0.46,0.74,16.9,0.0,0.118,0.118,,,-0.8,2.6,1.7,Tyon Grant-Foster
Ratiopharm Ulm (Germany),International,"['SF', 'PF']","6'9""",6.75,194,16,18.5,,,15.0,23.0,6.1,7.0,0.552,0.8,1.9,0.286,6.6,5.7,0.733,5.1,1.1,0.6,1.1,0.9,2.5,12.5,15.0,36.0,11.0,0.552,2.9,0.286,9.0,0.733,7.9,1.7,0.9,1.7,1.4,4.0,19.5,0.641,0.59,0.267,0.819,0.335,,,1.23,,,,,,,,,,Noa Essengue
Florida Atlantic,Junior,['SF'],"7'0""",7.0,216,21,21.36,"7'2""",7.17,19.0,29.8,5.2,8.5,0.503,1.3,3.1,0.345,1.7,2.2,0.634,7.1,2.6,1.8,0.8,2.1,2.7,10.9,19.0,36.0,10.2,0.503,3.7,0.345,2.6,0.634,8.6,3.1,2.2,1.0,2.5,3.2,13.2,0.576,0.565,0.36,0.255,0.331,18.8,0.81,1.22,17.3,0.057,0.064,0.12,,,2.3,2.1,4.4,Baba Miller
Texas,Freshman,['SG'],"6'6""",6.5,184,8,19.29,,,17.0,32.4,7.4,14.8,0.45,2.7,6.4,0.38,2.7,2.9,0.84,2.8,2.0,0.4,0.9,1.6,1.9,18.2,17.0,36.0,16.4,0.45,7.1,0.38,3.3,0.84,3.1,2.2,0.4,1.0,1.8,2.2,20.2,0.562,0.532,0.43,0.199,0.383,28.4,0.44,1.21,18.8,0.094,0.065,0.16,,,5.1,1.7,6.8,Tre Johnson
Qingdao (China),International,['C'],"7'1""",7.08,249,19,19.98,,,33.0,33.3,6.7,10.9,0.569,0.3,1.1,0.286,3.5,4.9,0.667,10.3,3.2,2.7,1.1,3.4,3.4,16.0,33.0,36.0,11.8,0.569,1.1,0.286,5.3,0.667,11.2,3.5,2.9,1.1,3.7,3.6,17.3,0.604,0.583,0.097,0.45,0.317,22.1,0.71,0.96,20.0,,,,111.9,103.7,,,,Hansen Yang
Georgia,Freshman,['PF'],"6'10""",6.83,205,11,19.71,,,18.0,27.9,7.9,10.7,0.57,0.9,2.1,0.316,3.1,3.4,0.71,6.8,1.1,1.1,1.1,1.0,2.2,15.3,18.0,36.0,13.8,0.57,2.7,0.316,4.4,0.71,8.8,1.4,1.4,1.4,1.3,2.8,19.8,0.62,0.601,0.197,0.321,0.333,23.4,0.35,1.06,27.6,0.167,0.087,0.262,,,8.0,2.9,10.9,Asa Newell
Arizona,Senior,['PG'],"6'4""",6.33,195,23,23.73,,,18.0,31.6,6.3,13.7,0.402,2.7,7.6,0.309,2.6,2.7,0.854,4.4,2.9,0.4,1.4,1.8,1.0,15.6,18.0,36.0,15.6,0.402,8.6,0.309,3.0,0.854,5.1,3.4,0.4,1.6,2.1,1.1,17.8,0.523,0.488,0.553,0.195,0.384,25.7,0.65,1.61,17.4,0.077,0.077,0.155,,,4.3,2.7,7.0,Caleb Love
Saint-Quentin (France),International,['PG'],"6'3""",6.25,175,9,19.06,,,24.0,22.4,6.3,10.8,0.363,2.1,4.6,0.282,3.8,3.3,0.712,2.0,4.9,0.0,0.7,2.3,2.0,11.5,24.0,36.0,17.3,0.363,7.4,0.282,5.4,0.712,3.1,7.8,0.1,1.1,3.6,3.2,18.5,0.465,0.423,0.425,0.309,0.354,31.1,1.43,2.17,14.3,,,,102.5,113.6,,,,Nolan Traore
Creighton,Senior,['C'],"7'1.75""",7.15,252,37,23.42,"7'5""",7.42,18.0,32.6,7.4,10.2,0.652,0.7,1.6,0.393,3.9,4.8,0.724,8.3,1.3,2.9,0.7,1.4,1.1,17.4,18.0,36.0,11.3,0.652,1.7,0.393,5.3,0.724,9.2,1.5,3.3,0.7,1.5,1.2,19.3,0.697,0.682,0.152,0.473,0.335,22.1,0.4,0.96,28.8,0.157,0.096,0.253,,,7.2,5.1,12.3,Ryan Kalkbrenner
Arkansas,Junior,['PF'],"6'10.5""",6.88,215,22,22.45,"7'3.75""",7.31,16.0,18.5,5.2,4.0,0.672,0.7,1.0,0.375,1.5,1.6,0.48,4.9,0.9,1.6,0.9,1.1,2.2,6.5,16.0,36.0,7.8,0.672,1.9,0.375,3.0,0.48,9.6,1.8,3.0,1.7,2.1,4.3,12.6,0.685,0.719,0.25,0.391,0.302,15.6,0.56,0.88,21.5,0.081,0.108,0.189,,,2.4,6.0,8.3,Trevon Brazile
Duke,Junior,['PG'],"6'5""",6.42,183,49,21.22,,,18.0,28.8,4.7,8.8,0.428,2.9,5.7,0.412,1.4,1.4,0.8,3.4,2.2,0.2,0.6,1.2,2.0,11.0,18.0,36.0,11.0,0.428,7.1,0.412,1.7,0.8,4.2,2.7,0.2,0.8,1.5,2.5,13.7,0.579,0.56,0.642,0.157,0.382,19.1,0.68,1.86,14.5,0.092,0.092,0.185,,,3.4,3.8,7.1,Tyrese Proctor
Real Madrid (Spain),International,['SF'],"6'6""",6.5,207,20,19.37,,,30.0,9.1,4.1,2.6,0.392,1.3,1.3,0.256,2.5,0.9,0.704,1.6,0.5,0.3,0.2,0.5,1.8,3.0,30.0,36.0,10.5,0.392,5.2,0.256,3.6,0.704,6.4,2.1,1.2,0.7,2.1,7.3,12.0,0.496,0.456,0.494,0.342,0.339,,,1.0,,,,,,,,,,Hugo González
Arizona,Freshman,"['SF', 'PF']","6'8""",6.67,225,31,19.56,,,18.0,16.1,4.7,4.1,0.514,1.9,2.4,0.349,1.7,1.4,0.538,3.1,1.1,0.7,1.0,0.6,1.9,5.8,18.0,36.0,9.2,0.514,5.4,0.349,3.2,0.538,6.9,2.5,1.5,2.2,1.4,4.4,13.1,0.608,0.615,0.581,0.351,0.328,16.3,0.71,1.82,18.9,0.083,0.097,0.194,,,4.1,5.8,10.0,Carter Bryant
KK Mega Basket (Serbia),International,['PF'],"6'11""",6.92,190,44,19.94,,,17.0,29.5,5.7,8.9,0.523,1.2,2.5,0.405,4.7,4.9,0.795,7.8,2.6,0.8,0.9,2.9,3.4,14.2,17.0,36.0,10.8,0.523,3.0,0.405,6.0,0.795,9.5,3.2,0.9,1.1,3.5,4.2,17.3,0.633,0.579,0.278,0.55,0.354,,,0.9,,,,,,,,,,Bogoljub Marković
